PERIOD,YEAR,STATS_VALUE
November,2021,15.1
December,2021,16.7
January,2022,18.3
February,2022,17
March,2022,16.3
April,2022,13.9
May,2022,11.5
June,2022,8.6
July,2022,7.2
August,2022,9.4
September,2022,10.7
October,2022,11.9
November,2022,16.1
December,2022,16.9
January,2023,18.4
February,2023,19
March,2023,15.5
April,2023,13.9
May,2023,12.1
June,2023,9.3
July,2023,7.7
August,2023,7.6
September,2023,11.8
October,2023,12.5
November,2023,14.3
December,2023,17.3
January,2024,19.1
February,2024,17.6
March,2024,14.2
April,2024,13.1
May,2024,7.9
June,2024,8.5
July,2024,7.5
August,2024,8.6
September,2024,11
October,2024,13.1
November,2024,15.3
December,2024,17.9
January,2025,16.2
February,2025,17.8
March,2025,16.5
April,2025,13.9
